__time,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/header/seq,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/header/stamp,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/w,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/x,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/y,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/z,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/x,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/y,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/z,/tf//vicon/world/vicon/marker_wand/marker_wand/header/seq,/tf//vicon/world/vicon/marker_wand/marker_wand/header/stamp,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/w,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/x,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/y,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/z,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/x,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/y,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/z,/tf/vicon/world/map/header/seq,/tf/vicon/world/map/header/stamp,/tf/vicon/world/map/rotation/w,/tf/vicon/world/map/rotation/x,/tf/vicon/world/map/rotation/y,/tf/vicon/world/map/rotation/z,/tf/vicon/world/map/translation/x,/tf/vicon/world/map/translation/y,/tf/vicon/world/map/translation/z
1690412546.945101,0.000000000,1690412546.930065632,0.996784894,-0.008902171,-0.013573646,0.078462621,0.009675228,2.075461399,-0.000349125,0.000000000,1690412546.930065632,0.999798449,-0.000061982,0.002329621,-0.019940649,0.378618894,-0.025594985,-0.029742376,,,,,,,,,
1690412546.945748,156070.000000000,1690412546.930065632,0.996784894,-0.008902171,-0.013573646,0.078462621,0.009675228,2.075461399,-0.000349125,,,,,,,,,,,,,,,,,,
1690412546.945779,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.945338726,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.953195,0.000000000,1690412546.938145161,0.996783291,-0.009134150,-0.013633563,0.078445934,0.009674399,2.075454204,-0.000360051,0.000000000,1690412546.938145161,0.999798091,-0.000040976,0.002307381,-0.019961270,0.378621566,-0.025592269,-0.029749705,,,,,,,,,
1690412546.953746,156071.000000000,1690412546.938145161,0.996783291,-0.009134150,-0.013633563,0.078445934,0.009674399,2.075454204,-0.000360051,,,,,,,,,,,,,,,,,,
1690412546.953769,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.953422070,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.962533,0.000000000,1690412546.947314978,0.996785841,-0.009000258,-0.013658347,0.078424686,0.009670660,2.075473186,-0.000349715,0.000000000,1690412546.947314978,0.999798440,-0.000008207,0.002309242,-0.019943605,0.378621447,-0.025587948,-0.029759447,,,,,,,,,
1690412546.963505,156072.000000000,1690412546.947314978,0.996785841,-0.009000258,-0.013658347,0.078424686,0.009670660,2.075473186,-0.000349715,,,,,,,,,,,,,,,,,,
1690412546.963572,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.962836027,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.971217,0.000000000,1690412546.955827475,0.996782802,-0.008969211,-0.013674883,0.078463984,0.009673193,2.075443622,-0.000360205,0.000000000,1690412546.955827475,0.999798264,-0.000059264,0.002294756,-0.019953980,0.378629845,-0.025596103,-0.029763889,,,,,,,,,
1690412546.972108,156073.000000000,1690412546.955827475,0.996782802,-0.008969211,-0.013674883,0.078463984,0.009673193,2.075443622,-0.000360205,,,,,,,,,,,,,,,,,,
1690412546.972163,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.971535921,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.978917,0.000000000,1690412546.963917971,0.996778625,-0.009087377,-0.013713757,0.078496658,0.009677399,2.075455592,-0.000354755,0.000000000,1690412546.963917971,0.999798698,-0.000051636,0.002300758,-0.019931568,0.378621964,-0.025597640,-0.029764877,,,,,,,,,
1690412546.979331,156074.000000000,1690412546.963917971,0.996778625,-0.009087377,-0.013713757,0.078496658,0.009677399,2.075455592,-0.000354755,,,,,,,,,,,,,,,,,,
1690412546.979660,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.979254246,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.986487,0.000000000,1690412546.971545219,0.996782757,-0.008967120,-0.013587046,0.078480056,0.009681711,2.075436959,-0.000351368,0.000000000,1690412546.971545219,0.999798395,-0.000069146,0.002351085,-0.019940832,0.378618900,-0.025593244,-0.029767790,,,,,,,,,
1690412546.986859,156075.000000000,1690412546.971545219,0.996782757,-0.008967120,-0.013587046,0.078480056,0.009681711,2.075436959,-0.000351368,,,,,,,,,,,,,,,,,,
1690412546.987096,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.986772299,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.994432,0.000000000,1690412546.979789495,0.996788973,-0.009052013,-0.013547901,0.078398078,0.009680886,2.075455939,-0.000363273,0.000000000,1690412546.979789495,0.999798521,-0.000087429,0.002380778,-0.019930911,0.378612839,-0.025599195,-0.029764733,,,,,,,,,
1690412546.994719,156076.000000000,1690412546.979789495,0.996788973,-0.009052013,-0.013547901,0.078398078,0.009680886,2.075455939,-0.000363273,,,,,,,,,,,,,,,,,,
1690412546.994730,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.994495630,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.004403,0.000000000,1690412546.989167929,0.996788534,-0.009064972,-0.013701720,0.078375432,0.009666054,2.075465764,-0.000376285,0.000000000,1690412546.989167929,0.999798135,-0.000072965,0.002350017,-0.019953998,0.378615405,-0.025599656,-0.029768951,,,,,,,,,
1690412547.005229,156077.000000000,1690412546.989167929,0.996788534,-0.009064972,-0.013701720,0.078375432,0.009666054,2.075465764,-0.000376285,,,,,,,,,,,,,,,,,,
1690412547.005271,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.004594326,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.012535,0.000000000,1690412546.997503042,0.996785718,-0.009041497,-0.013608808,0.078430119,0.009668895,2.075461979,-0.000371250,0.000000000,1690412546.997503042,0.999798251,-0.000029685,0.002327352,-0.019950917,0.378612255,-0.025583533,-0.029774642,,,,,,,,,
1690412547.013494,156078.000000000,1690412546.997503042,0.996785718,-0.009041497,-0.013608808,0.078430119,0.009668895,2.075461979,-0.000371250,,,,,,,,,,,,,,,,,,
1690412547.013550,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.012817860,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.019985,0.000000000,1690412547.004906654,0.996794036,-0.008979242,-0.013542802,0.078342934,0.009665313,2.075457519,-0.000357794,0.000000000,1690412547.004906654,0.999798418,-0.000099884,0.002355908,-0.019938966,0.378611072,-0.025594394,-0.029760455,,,,,,,,,
1690412547.020433,156079.000000000,1690412547.004906654,0.996794036,-0.008979242,-0.013542802,0.078342934,0.009665313,2.075457519,-0.000357794,,,,,,,,,,,,,,,,,,
1690412547.020444,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.020124674,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.027880,0.000000000,1690412547.012989283,0.996787609,-0.009039629,-0.013633241,0.078402058,0.009660014,2.075453857,-0.000353614,0.000000000,1690412547.012989283,0.999798423,-0.000099077,0.002266884,-0.019949045,0.378618969,-0.025598438,-0.029750286,,,,,,,,,
1690412547.028211,156080.000000000,1690412547.012989283,0.996787609,-0.009039629,-0.013633241,0.078402058,0.009660014,2.075453857,-0.000353614,,,,,,,,,,,,,,,,,,
1690412547.028231,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.028015852,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.037327,0.000000000,1690412547.022289991,0.996783826,-0.008890675,-0.013655643,0.078463268,0.009668882,2.075470623,-0.000357113,0.000000000,1690412547.022289991,0.999798587,-0.000059157,0.002302157,-0.019936954,0.378619411,-0.025594015,-0.029749704,,,,,,,,,
1690412547.038113,156081.000000000,1690412547.022289991,0.996783826,-0.008890675,-0.013655643,0.078463268,0.009668882,2.075470623,-0.000357113,,,,,,,,,,,,,,,,,,
1690412547.038193,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.037578344,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.045851,0.000000000,1690412547.030528307,0.996782656,-0.008965305,-0.013818677,0.078441087,0.009666525,2.075445356,-0.000339385,0.000000000,1690412547.030528307,0.999798184,-0.000065761,0.002362418,-0.019950097,0.378613337,-0.025595618,-0.029746030,,,,,,,,,
1690412547.047116,156082.000000000,1690412547.030528307,0.996782656,-0.008965305,-0.013818677,0.078441087,0.009666525,2.075445356,-0.000339385,,,,,,,,,,,,,,,,,,
1690412547.047161,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.046370983,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.053368,0.000000000,1690412547.038395405,0.996790843,-0.009036481,-0.013634231,0.078361122,0.009664719,2.075449808,-0.000365174,0.000000000,1690412547.038395405,0.999798386,-0.000084664,0.002359449,-0.019940259,0.378615226,-0.025591938,-0.029746849,,,,,,,,,
1690412547.053725,156083.000000000,1690412547.038395405,0.996790843,-0.009036481,-0.013634231,0.078361122,0.009664719,2.075449808,-0.000365174,,,,,,,,,,,,,,,,,,
1690412547.054052,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.053669453,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.061399,0.000000000,1690412547.046442270,0.996782065,-0.009013506,-0.013762516,0.078452949,0.009663917,2.075445656,-0.000360720,0.000000000,1690412547.046442270,0.999797739,-0.000039376,0.002322606,-0.019977107,0.378613120,-0.025586616,-0.029760821,,,,,,,,,
1690412547.061653,156084.000000000,1690412547.046442270,0.996782065,-0.009013506,-0.013762516,0.078452949,0.009663917,2.075445656,-0.000360720,,,,,,,,,,,,,,,,,,
1690412547.061671,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.061425447,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.070876,0.000000000,1690412547.055633068,0.996786351,-0.009010627,-0.013774189,0.078396757,0.009653096,2.075453873,-0.000388434,0.000000000,1690412547.055633068,0.999798760,-0.000109390,0.002390080,-0.019917721,0.378615885,-0.025594146,-0.029753343,,,,,,,,,
1690412547.071864,156085.000000000,1690412547.055633068,0.996786351,-0.009010627,-0.013774189,0.078396757,0.009653096,2.075453873,-0.000388434,,,,,,,,,,,,,,,,,,
1690412547.071914,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.071017027,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.079039,0.000000000,1690412547.063929558,0.996784203,-0.008990183,-0.013699728,0.078439444,0.009661290,2.075460202,-0.000382968,0.000000000,1690412547.063929558,0.999798490,-0.000143944,0.002376250,-0.019932707,0.378611258,-0.025588313,-0.029760295,,,,,,,,,
1690412547.079593,156086.000000000,1690412547.063929558,0.996784203,-0.008990183,-0.013699728,0.078439444,0.009661290,2.075460202,-0.000382968,,,,,,,,,,,,,,,,,,
1690412547.079654,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.079199076,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.086548,0.000000000,1690412547.071608305,0.996781929,-0.008991623,-0.013729442,0.078462975,0.009652713,2.075460700,-0.000390410,0.000000000,1690412547.071608305,0.999798336,-0.000124830,0.002412837,-0.019936135,0.378617193,-0.025597768,-0.029760960,,,,,,,,,
1690412547.086773,156087.000000000,1690412547.071608305,0.996781929,-0.008991623,-0.013729442,0.078462975,0.009652713,2.075460700,-0.000390410,,,,,,,,,,,,,,,,,,
1690412547.087073,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.086765766,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.094515,0.000000000,1690412547.079724073,0.996779773,-0.009076530,-0.013746161,0.078477665,0.009652554,2.075447307,-0.000400427,0.000000000,1690412547.079724073,0.999798347,-0.000053024,0.002349732,-0.019943452,0.378619191,-0.025592731,-0.029765125,,,,,,,,,
1690412547.095032,156088.000000000,1690412547.079724073,0.996779773,-0.009076530,-0.013746161,0.078477665,0.009652554,2.075447307,-0.000400427,,,,,,,,,,,,,,,,,,
1690412547.095043,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.094654799,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.102739,0.000000000,1690412547.087861300,0.996781347,-0.009016308,-0.013754701,0.078463114,0.009656436,2.075453049,-0.000378209,0.000000000,1690412547.087861300,0.999797827,-0.000139504,0.002390084,-0.019964303,0.378616855,-0.025603932,-0.029756963,,,,,,,,,
1690412547.102997,156089.000000000,1690412547.087861300,0.996781347,-0.009016308,-0.013754701,0.078463114,0.009656436,2.075453049,-0.000378209,,,,,,,,,,,,,,,,,,
1690412547.103013,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.102837324,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.112423,0.000000000,1690412547.097283602,0.996781100,-0.008957704,-0.013785239,0.078467605,0.009657362,2.075450854,-0.000381478,0.000000000,1690412547.097283602,0.999797884,-0.000072814,0.002317709,-0.019970318,0.378615524,-0.025590464,-0.029758285,,,,,,,,,
1690412547.113350,156090.000000000,1690412547.097283602,0.996781100,-0.008957704,-0.013785239,0.078467605,0.009657362,2.075450854,-0.000381478,,,,,,,,,,,,,,,,,,
1690412547.113531,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.112596035,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.120886,0.000000000,1690412547.105795145,0.996776377,-0.009122271,-0.013814776,0.078503439,0.009659014,2.075449683,-0.000376024,0.000000000,1690412547.105795145,0.999798377,-0.000089841,0.002319458,-0.019945358,0.378620433,-0.025595594,-0.029748347,,,,,,,,,
1690412547.121987,156091.000000000,1690412547.105795145,0.996776377,-0.009122271,-0.013814776,0.078503439,0.009659014,2.075449683,-0.000376024,,,,,,,,,,,,,,,,,,
1690412547.122030,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.121206522,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.129592,0.000000000,1690412547.114147902,0.996780302,-0.009083470,-0.013986810,0.078427611,0.009657173,2.075458226,-0.000373910,0.000000000,1690412547.114147902,0.999797682,-0.000142584,0.002388935,-0.019971697,0.378613402,-0.025598688,-0.029734361,,,,,,,,,
1690412547.130542,156092.000000000,1690412547.114147902,0.996780302,-0.009083470,-0.013986810,0.078427611,0.009657173,2.075458226,-0.000373910,,,,,,,,,,,,,,,,,,
1690412547.130569,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.129819870,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.137662,0.000000000,1690412547.122300863,0.996780544,-0.009169687,-0.013852523,0.078438326,0.009653599,2.075449740,-0.000357722,0.000000000,1690412547.122300863,0.999797874,-0.000036688,0.002280420,-0.019975216,0.378620352,-0.025582544,-0.029746932,,,,,,,,,
1690412547.138224,156093.000000000,1690412547.122300863,0.996780544,-0.009169687,-0.013852523,0.078438326,0.009653599,2.075449740,-0.000357722,,,,,,,,,,,,,,,,,,
1690412547.138817,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.138093233,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.145082,0.000000000,1690412547.129869461,0.996789201,-0.008926396,-0.013656937,0.078390660,0.009643436,2.075474796,-0.000369218,0.000000000,1690412547.129869461,0.999797589,-0.000081203,0.002285799,-0.019988737,0.378603746,-0.025586408,-0.029752028,,,,,,,,,
1690412547.145524,156094.000000000,1690412547.129869461,0.996789201,-0.008926396,-0.013656937,0.078390660,0.009643436,2.075474796,-0.000369218,,,,,,,,,,,,,,,,,,
1690412547.145549,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.145219564,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.153217,0.000000000,1690412547.138269901,0.996780092,-0.009064983,-0.013818321,0.078462278,0.009643697,2.075452242,-0.000365920,0.000000000,1690412547.138269901,0.999798593,-0.000058011,0.002308046,-0.019935954,0.378609907,-0.025585024,-0.029749400,,,,,,,,,
1690412547.153568,156095.000000000,1690412547.138269901,0.996780092,-0.009064983,-0.013818321,0.078462278,0.009643697,2.075452242,-0.000365920,,,,,,,,,,,,,,,,,,
1690412547.153577,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.153277159,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.163159,0.000000000,1690412547.147646666,0.996766226,-0.008598091,-0.013767150,0.078699611,0.009591768,2.075423159,-0.000333273,0.000000000,1690412547.147646666,0.999798546,-0.000085343,0.002353721,-0.019932882,0.378612640,-0.025588986,-0.029747415,,,,,,,,,
1690412547.164236,156096.000000000,1690412547.147646666,0.996766226,-0.008598091,-0.013767150,0.078699611,0.009591768,2.075423159,-0.000333273,,,,,,,,,,,,,,,,,,
1690412547.164295,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.163513660,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.171726,0.000000000,1690412547.156173706,0.996785571,-0.009121619,-0.013745571,0.078398859,0.009635355,2.075458985,-0.000376107,0.000000000,1690412547.156173706,0.999798041,-0.000069941,0.002322919,-0.019961893,0.378608693,-0.025585456,-0.029763735,,,,,,,,,
1690412547.172822,156097.000000000,1690412547.156173706,0.996785571,-0.009121619,-0.013745571,0.078398859,0.009635355,2.075458985,-0.000376107,,,,,,,,,,,,,,,,,,
1690412547.172852,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.171968460,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.179836,0.000000000,1690412547.164412498,0.996785960,-0.009184436,-0.013712849,0.078392310,0.009631314,2.075461210,-0.000363332,0.000000000,1690412547.164412498,0.999798083,-0.000100461,0.002332475,-0.019958509,0.378612029,-0.025594514,-0.029750742,,,,,,,,,
1690412547.180902,156098.000000000,1690412547.164412498,0.996785960,-0.009184436,-0.013712849,0.078392310,0.009631314,2.075461210,-0.000363332,,,,,,,,,,,,,,,,,,
1690412547.181123,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.180105209,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.188379,0.000000000,1690412547.172865629,0.996793894,-0.009029071,-0.013655022,0.078319535,0.009640414,2.075458524,-0.000368382,0.000000000,1690412547.172865629,0.999798242,-0.000120457,0.002308039,-0.019953309,0.378613279,-0.025595477,-0.029752907,,,,,,,,,
1690412547.189378,156099.000000000,1690412547.172865629,0.996793894,-0.009029071,-0.013655022,0.078319535,0.009640414,2.075458524,-0.000368382,,,,,,,,,,,,,,,,,,
1690412547.189440,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.188651323,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412547.195587,0.000000000,1690412547.180415154,0.996792549,-0.009074182,-0.013678361,0.078327362,0.009645821,2.075453816,-0.000364363,0.000000000,1690412547.180415154,0.999798784,-0.000099711,0.002357442,-0.019920442,0.378619839,-0.025607232,-0.029757173,,,,,,,,,
1690412547.196295,156100.000000000,1690412547.180415154,0.996792549,-0.009074182,-0.013678361,0.078327362,0.009645821,2.075453816,-0.000364363,,,,,,,,,,,,,,,,,,
1690412547.196320,,,,,,,,,,,,,,,,,,,0.000000000,1690412547.195829153,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
